campaign_id,campaign_name,platform,channel,region,status,start_date,end_date,budget_allocated,created_at,funnel_stage
57,  GROWIFY | RETARGET | CONVERSION | INDIA  ,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,2707.016,2026-05-24 15:51:36,BOF
58,  GROWIFY | RETARGET | MESSAGING | US+CAN  ,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,889.39,2026-05-24 15:51:36,BOF
59,  GROWIFY | TOF | 23/01/26 | ABO | US | SALES  ,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,2054.465,2026-05-24 15:51:36,BOF
60,  GROWIFY | TOF | CONVERSION | INDIA  ,Meta,Paid Social,India,ACTIVE,2026-05-24,2026-05-24,313.43571428571425,2026-05-24 15:51:36,BOF
61,  GROWIFY | TOF | CONVERSION | UAE  ,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,450.5393874545454,2026-05-24 15:51:36,BOF
62,  GROWIFY | TOF | CONVERSION | US  ,Meta,Paid Social,USA,ACTIVE,2026-05-24,2026-05-24,2633.62,2026-05-24 15:51:36,BOF
63,  GROWIFY | TOF | CONVERSION | US+CAN  ,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,0.0,2026-05-24 15:51:36,BOF
64,  GROWIFY | TOF | CONVERSION | US+UK  ,Meta,Paid Social,USA,ACTIVE,2026-05-24,2026-05-24,6944.116666666668,2026-05-24 15:51:36,BOF
65,  GROWIFY | TOF | MESSAGING | UAE  ,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,20075.945714285714,2026-05-24 15:51:36,BOF
66,  GROWIFY | TOF | TRAFFIC-LPV | UAE  ,Meta,Paid Social,Middle East,PAUSED,2026-05-24,2026-05-24,53.61,2026-05-24 15:51:36,BOF
67,  GROWIFY | TOF | TRAFFIC-LPV | US  ,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,38.385999999999996,2026-05-24 15:51:36,BOF
68,  GROWIFY | TOF | TRAFFIC-THRUPLAY | INDIA  ,Meta,Paid Social,India,PAUSED,2026-05-24,2026-05-24,92.99,2026-05-24 15:51:36,BOF
69,  NAN  ,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,403.42636942857143,2026-05-24 15:51:36,BOF
70,Growify | 3 July 2025 | US/CA/AUS | Engagement,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,9683.96567,2026-05-24 15:51:36,BOF
71,Growify | MOF+BOF | Mehfil+Fitoor+Mahiya | Lehenga+Saree| Sale | US+UAE+CAN+AUS,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,4929.7952221129035,2026-05-24 15:51:36,BOF
72,Growify | Retarget | Conversion | AUS+CAN+UK+USA,Meta,Paid Social,Rest of the World,ACTIVE,2026-05-24,2026-05-24,8929.237287412903,2026-05-24 15:51:36,BOF
73,Growify | Retarget | Conversion | India,Meta,Paid Social,India,  ACTIVE  ,2026-05-24,2026-05-24,22012.2014,2026-05-24 15:51:36,BOF
74,Growify | Retarget | Messaging | US+CAN,Meta,Paid Social,Rest of the World,PAUSED,2026-05-24,2026-05-24,2401.562479730769,2026-05-24 15:51:36,BOF
75,Growify | TOF | 20/02/25 | ABO | US | Sales,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,36302.65142857143,2026-05-24 15:51:36,BOF
76,Growify | TOF | 23/01/25 | ABO | US | Leads,Meta,Paid Social,USA,PAUSED,2026-05-24,2026-05-24,857.76,2026-05-24 15:51:36,BOF
